"year","period","periodName","Employment among men 16-24 (%)","Employment among women 16-24 (%)","date"
1995,3,"March",62.9,55.4,"1995-03-01"
1995,4,"April",62.4,55.5,"1995-04-01"
1995,5,"May",61.2,55,"1995-05-01"
1995,6,"June",61.9,55.4,"1995-06-01"
1995,7,"July",61.5,54.5,"1995-07-01"
1995,8,"August",61.4,55.2,"1995-08-01"
1995,9,"September",60.9,54,"1995-09-01"
1995,10,"October",60.3,54.8,"1995-10-01"
1995,11,"November",60.3,54.7,"1995-11-01"
1995,12,"December",60.2,54.6,"1995-12-01"
1996,1,"January",60.1,54.2,"1996-01-01"
1996,2,"February",60,54.6,"1996-02-01"
1996,3,"March",60.4,54.9,"1996-03-01"
1996,4,"April",60.3,55.3,"1996-04-01"
1996,5,"May",60.7,55.1,"1996-05-01"
1996,6,"June",60.3,54.9,"1996-06-01"
1996,7,"July",60.2,54.5,"1996-07-01"
1996,8,"August",59.5,54.9,"1996-08-01"
1996,9,"September",60.2,56.1,"1996-09-01"
1996,10,"October",60.6,56,"1996-10-01"
1996,11,"November",59.3,56.1,"1996-11-01"
1996,12,"December",59.8,55.6,"1996-12-01"
1997,1,"January",59.6,55.5,"1997-01-01"
1997,2,"February",60,55.4,"1997-02-01"
1997,3,"March",60.1,56,"1997-03-01"
1997,4,"April",60.2,55.7,"1997-04-01"
1997,5,"May",61.7,55.7,"1997-05-01"
1997,6,"June",60,55.5,"1997-06-01"
1997,7,"July",60.2,56.1,"1997-07-01"
1997,8,"August",60.2,55.6,"1997-08-01"
1997,9,"September",59.7,56,"1997-09-01"
1997,10,"October",59.8,55.9,"1997-10-01"
1997,11,"November",60.7,56.4,"1997-11-01"
1997,12,"December",60,56.9,"1997-12-01"
1998,1,"January",60.8,57.5,"1998-01-01"
1998,2,"February",60.5,57.4,"1998-02-01"
1998,3,"March",60.8,57.2,"1998-03-01"
1998,4,"April",61.3,56.9,"1998-04-01"
1998,5,"May",60.8,57.5,"1998-05-01"
1998,6,"June",61,56.8,"1998-06-01"
1998,7,"July",60.4,56.8,"1998-07-01"
1998,8,"August",60.6,57,"1998-08-01"
1998,9,"September",60.5,57.8,"1998-09-01"
1998,10,"October",60.6,57.3,"1998-10-01"
1998,11,"November",61.2,56.7,"1998-11-01"
1998,12,"December",61.1,57.1,"1998-12-01"
1999,1,"January",60.7,56.8,"1999-01-01"
1999,2,"February",60.9,57.1,"1999-02-01"
1999,3,"March",61.1,57.3,"1999-03-01"
1999,4,"April",59.7,57.5,"1999-04-01"
1999,5,"May",61.4,57.3,"1999-05-01"
1999,6,"June",60.7,56.7,"1999-06-01"
1999,7,"July",61,57.2,"1999-07-01"
1999,8,"August",61.2,56.9,"1999-08-01"
1999,9,"September",61.4,56.4,"1999-09-01"
1999,10,"October",61.3,56.6,"1999-10-01"
1999,11,"November",61.1,56.6,"1999-11-01"
1999,12,"December",61.7,57,"1999-12-01"
2000,1,"January",62.1,57.5,"2000-01-01"
2000,2,"February",62,56.9,"2000-02-01"
2000,3,"March",62.5,56.5,"2000-03-01"
2000,4,"April",62.7,57.6,"2000-04-01"
2000,5,"May",61.8,56.8,"2000-05-01"
2000,6,"June",62.4,57.4,"2000-06-01"
2000,7,"July",61,56.8,"2000-07-01"
2000,8,"August",62,57.3,"2000-08-01"
2000,9,"September",61.7,58.2,"2000-09-01"
2000,10,"October",62,57.9,"2000-10-01"
2000,11,"November",61.5,57.8,"2000-11-01"
2000,12,"December",61.7,57.8,"2000-12-01"
2001,1,"January",61.9,57.6,"2001-01-01"
2001,2,"February",60.7,57.8,"2001-02-01"
2001,3,"March",60.7,57.7,"2001-03-01"
2001,4,"April",60.6,56.3,"2001-04-01"
2001,5,"May",59.1,56.1,"2001-05-01"
2001,6,"June",59,56.3,"2001-06-01"
2001,7,"July",59.7,55.7,"2001-07-01"
2001,8,"August",57.9,54.4,"2001-08-01"
2001,9,"September",60,55.1,"2001-09-01"
2001,10,"October",58.2,55.3,"2001-10-01"
2001,11,"November",57.7,55.9,"2001-11-01"
2001,12,"December",57.3,54.6,"2001-12-01"
2002,1,"January",56.9,53.7,"2002-01-01"
2002,2,"February",57,54.9,"2002-02-01"
2002,3,"March",56.9,55.1,"2002-03-01"
2002,4,"April",57.1,54,"2002-04-01"
2002,5,"May",58,54.4,"2002-05-01"
2002,6,"June",57.3,54.6,"2002-06-01"
2002,7,"July",57.2,54.2,"2002-07-01"
2002,8,"August",56.6,54.9,"2002-08-01"
2002,9,"September",57.5,54.5,"2002-09-01"
2002,10,"October",57.1,53.8,"2002-10-01"
2002,11,"November",56.9,53.7,"2002-11-01"
2002,12,"December",56.7,53.5,"2002-12-01"
2003,1,"January",56.7,53.1,"2003-01-01"
2003,2,"February",56.6,52.9,"2003-02-01"
2003,3,"March",55.4,52.8,"2003-03-01"
2003,4,"April",55.4,52.8,"2003-04-01"
2003,5,"May",55.2,52.7,"2003-05-01"
2003,6,"June",55.2,52.7,"2003-06-01"
2003,7,"July",54.4,52.6,"2003-07-01"
2003,8,"August",54.7,52.4,"2003-08-01"
2003,9,"September",55,52.1,"2003-09-01"
2003,10,"October",55,52,"2003-10-01"
2003,11,"November",55.2,52.1,"2003-11-01"
2003,12,"December",55.3,51.5,"2003-12-01"
2004,1,"January",56.2,52,"2004-01-01"
2004,2,"February",55.5,52.2,"2004-02-01"
2004,3,"March",54.9,51.9,"2004-03-01"
2004,4,"April",55.7,52.7,"2004-04-01"
2004,5,"May",54.8,52.7,"2004-05-01"
2004,6,"June",55.3,51.8,"2004-06-01"
2004,7,"July",56,51.9,"2004-07-01"
2004,8,"August",55.8,52.3,"2004-08-01"
2004,9,"September",54.8,52.1,"2004-09-01"
2004,10,"October",55.8,52.4,"2004-10-01"
2004,11,"November",56.2,52.3,"2004-11-01"
2004,12,"December",55.6,52.5,"2004-12-01"
2005,1,"January",54.9,52.5,"2005-01-01"
2005,2,"February",54.3,51.8,"2005-02-01"
2005,3,"March",54.8,52.5,"2005-03-01"
2005,4,"April",54.7,52.3,"2005-04-01"
2005,5,"May",55,52.3,"2005-05-01"
2005,6,"June",55.5,52.5,"2005-06-01"
2005,7,"July",55.5,52.8,"2005-07-01"
2005,8,"August",55,53.1,"2005-08-01"
2005,9,"September",54.8,53.3,"2005-09-01"
2005,10,"October",55.1,53.5,"2005-10-01"
2005,11,"November",55.7,52.8,"2005-11-01"
2005,12,"December",56.2,51.9,"2005-12-01"
2006,1,"January",55.9,51.9,"2006-01-01"
2006,2,"February",56.4,52.2,"2006-02-01"
2006,3,"March",56.4,52,"2006-03-01"
2006,4,"April",55.9,52.3,"2006-04-01"
2006,5,"May",56.3,52.7,"2006-05-01"
2006,6,"June",56.2,52.4,"2006-06-01"
2006,7,"July",55.6,52.3,"2006-07-01"
2006,8,"August",56.4,52.6,"2006-08-01"
2006,9,"September",56.1,51.5,"2006-09-01"
2006,10,"October",56.3,51.9,"2006-10-01"
2006,11,"November",56.3,52.4,"2006-11-01"
2006,12,"December",56.7,52.9,"2006-12-01"
2007,1,"January",56.2,52.6,"2007-01-01"
2007,2,"February",55.7,52.8,"2007-02-01"
2007,3,"March",55.6,52.5,"2007-03-01"
2007,4,"April",54.8,51.4,"2007-04-01"
2007,5,"May",54.4,51.3,"2007-05-01"
2007,6,"June",54.4,52.1,"2007-06-01"
2007,7,"July",54.1,51.5,"2007-07-01"
2007,8,"August",53.1,50.8,"2007-08-01"
2007,9,"September",53.5,52.3,"2007-09-01"
2007,10,"October",54.3,51.4,"2007-10-01"
2007,11,"November",54.3,51.9,"2007-11-01"
2007,12,"December",53.2,51.2,"2007-12-01"
2008,1,"January",53.8,51.2,"2008-01-01"
2008,2,"February",53,50.4,"2008-02-01"
2008,3,"March",53.3,50,"2008-03-01"
2008,4,"April",53.6,51.1,"2008-04-01"
2008,5,"May",53.7,50.6,"2008-05-01"
2008,6,"June",52.6,50.5,"2008-06-01"
2008,7,"July",51.9,50.3,"2008-07-01"
2008,8,"August",52.1,50.1,"2008-08-01"
2008,9,"September",52.1,49.7,"2008-09-01"
2008,10,"October",51.1,50.1,"2008-10-01"
2008,11,"November",50.3,49.3,"2008-11-01"
2008,12,"December",49.9,49.3,"2008-12-01"
2009,1,"January",48.8,48.7,"2009-01-01"
2009,2,"February",48.9,48.7,"2009-02-01"
2009,3,"March",47.7,48.6,"2009-03-01"
2009,4,"April",48.2,48.2,"2009-04-01"
2009,5,"May",47.4,47.5,"2009-05-01"
2009,6,"June",47.2,47.1,"2009-06-01"
2009,7,"July",46.9,47,"2009-07-01"
2009,8,"August",46.4,46.5,"2009-08-01"
2009,9,"September",45.7,45.8,"2009-09-01"
2009,10,"October",44.7,45,"2009-10-01"
2009,11,"November",44.5,45.4,"2009-11-01"
2009,12,"December",44.2,45.7,"2009-12-01"
2010,1,"January",43.6,45.6,"2010-01-01"
2010,2,"February",44.3,45.5,"2010-02-01"
2010,3,"March",44.8,45,"2010-03-01"
2010,4,"April",44.9,45,"2010-04-01"
2010,5,"May",45.6,45.2,"2010-05-01"
2010,6,"June",44.6,44.9,"2010-06-01"
2010,7,"July",45,44.9,"2010-07-01"
2010,8,"August",45.6,45.7,"2010-08-01"
2010,9,"September",44.9,45.1,"2010-09-01"
2010,10,"October",45,44.8,"2010-10-01"
2010,11,"November",45.3,45,"2010-11-01"
2010,12,"December",45.3,44.4,"2010-12-01"
2011,1,"January",46.2,44.4,"2011-01-01"
2011,2,"February",45.8,44.6,"2011-02-01"
2011,3,"March",45.7,45.2,"2011-03-01"
2011,4,"April",45.2,45.2,"2011-04-01"
2011,5,"May",45.4,44.7,"2011-05-01"
2011,6,"June",45.7,44.4,"2011-06-01"
2011,7,"July",45.4,44.4,"2011-07-01"
2011,8,"August",46.1,44.9,"2011-08-01"
2011,9,"September",46.2,45.2,"2011-09-01"
2011,10,"October",47,45.6,"2011-10-01"
2011,11,"November",46.5,45.4,"2011-11-01"
2011,12,"December",46.9,45,"2011-12-01"
2012,1,"January",46.6,45,"2012-01-01"
2012,2,"February",45.6,46,"2012-02-01"
2012,3,"March",46.2,45.4,"2012-03-01"
2012,4,"April",46.4,45,"2012-04-01"
2012,5,"May",46.6,45.4,"2012-05-01"
2012,6,"June",46.6,45.5,"2012-06-01"
2012,7,"July",46.9,45.4,"2012-07-01"
2012,8,"August",45.5,45,"2012-08-01"
2012,9,"September",46.6,45.8,"2012-09-01"
2012,10,"October",47.3,45.4,"2012-10-01"
2012,11,"November",47.4,45.5,"2012-11-01"
2012,12,"December",46.8,45.3,"2012-12-01"
2013,1,"January",47.1,45.4,"2013-01-01"
2013,2,"February",46.8,45.2,"2013-02-01"
2013,3,"March",46.4,44.8,"2013-03-01"
2013,4,"April",46.4,45.9,"2013-04-01"
2013,5,"May",46.4,45.4,"2013-05-01"
2013,6,"June",46.7,46.4,"2013-06-01"
2013,7,"July",46.8,46.5,"2013-07-01"
2013,8,"August",46.6,46,"2013-08-01"
2013,9,"September",47.8,46.5,"2013-09-01"
2013,10,"October",47,46.4,"2013-10-01"
2013,11,"November",47.4,46.9,"2013-11-01"
2013,12,"December",47.9,47,"2013-12-01"
2014,1,"January",47,46.6,"2014-01-01"
2014,2,"February",45.9,46.7,"2014-02-01"
2014,3,"March",48.2,46.7,"2014-03-01"
2014,4,"April",47.9,46.9,"2014-04-01"
2014,5,"May",47.9,47.4,"2014-05-01"
2014,6,"June",48.1,46.8,"2014-06-01"
2014,7,"July",48.6,47,"2014-07-01"
2014,8,"August",48.2,46.5,"2014-08-01"
2014,9,"September",48.3,46.8,"2014-09-01"
2014,10,"October",50,48.1,"2014-10-01"
2014,11,"November",49.4,48,"2014-11-01"
2014,12,"December",49,47.5,"2014-12-01"
2015,1,"January",49,47.7,"2015-01-01"
2015,2,"February",49.5,47.8,"2015-02-01"
2015,3,"March",48.2,47.5,"2015-03-01"
2015,4,"April",48.9,47.3,"2015-04-01"
2015,5,"May",49.3,48.1,"2015-05-01"
2015,6,"June",48.3,48.5,"2015-06-01"
2015,7,"July",48.9,48.3,"2015-07-01"
2015,8,"August",49.3,48.9,"2015-08-01"
2015,9,"September",48.9,47.9,"2015-09-01"
2015,10,"October",49.5,48.4,"2015-10-01"
2015,11,"November",48.8,48.7,"2015-11-01"
2015,12,"December",49.8,49.2,"2015-12-01"
2016,1,"January",49.3,49.2,"2016-01-01"
2016,2,"February",50.1,48.6,"2016-02-01"
2016,3,"March",49.9,48.8,"2016-03-01"
2016,4,"April",49.8,48.4,"2016-04-01"
2016,5,"May",50,49,"2016-05-01"
2016,6,"June",50.1,48.1,"2016-06-01"
2016,7,"July",50,48.2,"2016-07-01"
2016,8,"August",50.6,49.7,"2016-08-01"
2016,9,"September",50.3,48.5,"2016-09-01"
2016,10,"October",49.9,48.4,"2016-10-01"
2016,11,"November",50.2,49.1,"2016-11-01"
2016,12,"December",50.6,49.3,"2016-12-01"
2017,1,"January",50.6,49.3,"2017-01-01"
2017,2,"February",50.8,49.7,"2017-02-01"
2017,3,"March",51,50.4,"2017-03-01"
2017,4,"April",51.2,50.1,"2017-04-01"
2017,5,"May",51.3,49.6,"2017-05-01"
2017,6,"June",51,49.6,"2017-06-01"
2017,7,"July",51,49.9,"2017-07-01"
2017,8,"August",51.4,50.3,"2017-08-01"
2017,9,"September",51.2,50.7,"2017-09-01"
2017,10,"October",50.4,49.9,"2017-10-01"
2017,11,"November",49.5,49.5,"2017-11-01"
2017,12,"December",50.1,49.4,"2017-12-01"
2018,1,"January",51.4,50.1,"2018-01-01"
2018,2,"February",51.6,50.4,"2018-02-01"
2018,3,"March",52.2,50.4,"2018-03-01"
2018,4,"April",51.1,50.2,"2018-04-01"
2018,5,"May",50.6,50.3,"2018-05-01"
2018,6,"June",50.7,50.4,"2018-06-01"
2018,7,"July",50.2,51.2,"2018-07-01"
2018,8,"August",49.3,49.5,"2018-08-01"
2018,9,"September",50.1,50.4,"2018-09-01"
2018,10,"October",49.8,50.3,"2018-10-01"
2018,11,"November",50.1,50.3,"2018-11-01"
2018,12,"December",50.1,50.6,"2018-12-01"
2019,1,"January",50.7,50.4,"2019-01-01"
2019,2,"February",50.4,50.5,"2019-02-01"
2019,3,"March",50.8,51.3,"2019-03-01"
2019,4,"April",50.7,50.9,"2019-04-01"
2019,5,"May",51.4,51.2,"2019-05-01"
2019,6,"June",52.2,51.1,"2019-06-01"
2019,7,"July",52,51.4,"2019-07-01"
2019,8,"August",51,51.2,"2019-08-01"
2019,9,"September",51.7,51.2,"2019-09-01"
2019,10,"October",51.2,51.9,"2019-10-01"
2019,11,"November",51.4,51,"2019-11-01"
2019,12,"December",51.5,50.9,"2019-12-01"
2020,1,"January",52.4,51.4,"2020-01-01"
2020,2,"February",53,52,"2020-02-01"
2020,3,"March",49.7,49.1,"2020-03-01"
2020,4,"April",37.7,33.6,"2020-04-01"
2020,5,"May",39.7,37.7,"2020-05-01"
2020,6,"June",42,41.4,"2020-06-01"
2020,7,"July",43.4,42.6,"2020-07-01"
2020,8,"August",46.2,44.7,"2020-08-01"
2020,9,"September",47.5,46.5,"2020-09-01"
2020,10,"October",49.2,48.4,"2020-10-01"
2020,11,"November",48.9,48.6,"2020-11-01"
2020,12,"December",48.6,48.1,"2020-12-01"
2021,1,"January",49.9,47.9,"2021-01-01"
2021,2,"February",49.6,49,"2021-02-01"
2021,3,"March",49.3,49.1,"2021-03-01"
2021,4,"April",50.5,49,"2021-04-01"
2021,5,"May",50.4,49.4,"2021-05-01"
2021,6,"June",50,49.8,"2021-06-01"
2021,7,"July",50,50.1,"2021-07-01"
2021,8,"August",50.4,49.3,"2021-08-01"
2021,9,"September",50.7,50.5,"2021-09-01"
2021,10,"October",51.6,50.4,"2021-10-01"
2021,11,"November",52.5,50.5,"2021-11-01"
2021,12,"December",51.9,51.1,"2021-12-01"
2022,1,"January",51.4,50.5,"2022-01-01"
2022,2,"February",51.7,50.2,"2022-02-01"
2022,3,"March",51.9,50.6,"2022-03-01"
2022,4,"April",51,50.7,"2022-04-01"
2022,5,"May",51.5,50.5,"2022-05-01"
2022,6,"June",52,50.4,"2022-06-01"
2022,7,"July",51.1,50.7,"2022-07-01"
2022,8,"August",50.9,51.5,"2022-08-01"
